policy,n_replications,cycle_time_days,cycle_time_days_ci95,p95_cycle_days,p95_cycle_days_ci95,occupation,occupation_ci95,fairness,fairness_ci95,w_occupation,w_occupation_ci95,w_fairness,w_fairness_ci95,completed_cases,completed_cases_ci95,completion_share,completion_share_ci95,time_to_first_offer_days,time_to_first_offer_days_ci95,first_offer_reach_share,first_offer_reach_share_ci95,time_to_decision_days,time_to_decision_days_ci95,decision_reach_share,decision_reach_share_ci95,case_handover_rate,case_handover_rate_ci95,activity_switch_rate,activity_switch_rate_ci95,rolling_workload_std,rolling_workload_std_ci95,w_activity_switch_rate,w_activity_switch_rate_ci95,w_rolling_workload_std,w_rolling_workload_std_ci95,w_event_share,w_event_share_ci95,ao_event_share,ao_event_share_ci95,w_busy_share,w_busy_share_ci95,ao_busy_share,ao_busy_share_ci95,median_sessions_per_work_item,median_sessions_per_work_item_ci95,max_sessions_per_work_item,max_sessions_per_work_item_ci95,max_session_guard_reached,max_session_guard_reached_ci95,max_session_guard_forced_completions,max_session_guard_forced_completions_ci95,withdrawals,withdrawals_ci95,rare_shortened_work_items,rare_shortened_work_items_ci95,rare_personal_loan_work_items,rare_personal_loan_work_items_ci95
random,4,1.1504205359122606,0.20535137749105992,4.146258274943867,0.8192595109694215,0.36507158090592945,0.024508851402797578,0.26806885171120876,0.01344242737761716,0.04010980475103176,0.006287156926816461,0.037368229898829916,0.00540874811630159,1427.0,104.59392735228963,0.6901896244796083,0.022132271692841037,0.14905317162783494,0.010178905429230266,0.9727086809402821,0.0025346593883003535,0.5676028736265567,0.1286867553292715,0.5103455834114408,0.012722927489963478,0.8146433723529092,0.012057044315401153,0.7386940000623923,0.015098208436744044,0.10079071741182921,0.00507895968655997,0.131483883769767,0.010489622242855847,0.023336985748487672,0.007419382365006196,0.18797646214293878,0.0024645398014062894,0.8120235378570613,0.0024645398014063176,0.11924994547778801,0.011871354366073495,0.880750054522212,0.011871354366073483,1.0,0.0,10.25,2.717530883796015,0.0,0.0,0.0,0.0,53.25,24.319352913496445,0.0,0.0,0.0,0.0
piled,4,1.2192106641881693,0.2567038433245252,4.258164145249555,0.8397908375512477,0.36327240031441144,0.025261169533206715,0.2689534718168094,0.008525272260573114,0.0405761112449637,0.00702488851018932,0.038352647331481075,0.006719072970924682,1420.25,106.83239667552657,0.6869424573935025,0.026444064298383918,0.14874598733510286,0.009234515279507012,0.9720989963779507,0.0018270131368196224,0.6379629212101431,0.16540062450770052,0.5084057300160343,0.013398741061765767,0.8187262349984108,0.010958512100120962,0.6533241088085993,0.02764391866238083,0.09988268924329234,0.00583419898053151,0.12532763216221252,0.012614139243921995,0.02313815731126353,0.007375884683651523,0.18765527989416206,0.00203455253093298,0.812344720105838,0.0020345525309329927,0.12132168675240963,0.010858392449253379,0.8786783132475903,0.010858392449253403,1.0,0.0,10.25,2.717530883796015,0.0,0.0,0.0,0.0,52.5,19.336253229155176,0.0,0.0,0.0,0.0
kbatch5,4,3.0071689545548654,0.17570952011448474,8.247449331908413,0.7910370003170877,0.3391124092844653,0.02153813652515294,0.24564801932295727,0.009656817020036663,0.03560218104871262,0.00671079924830903,0.03849062691141708,0.006539097873312228,1231.5,63.60249849748091,0.5962231397927876,0.04189787433902556,0.9187798179743857,0.08164105230064801,0.9375915142363203,0.030220587230296688,2.2043738453143584,0.12123043702059196,0.45698466304737284,0.03350559736999343,0.8741427132204751,0.029682517137852547,0.6775217426533199,0.008794313760781085,0.09083619813288947,0.0053673643544467345,0.08702877477420165,0.011223857208467108,0.02231146849959436,0.006222858553316752,0.17516537833178747,0.002373024524453578,0.8248346216682125,0.002373024524453544,0.11218836638223739,0.015106997358979761,0.8878116336177625,0.01510699735897969,1.0,0.0,10.25,3.528307858930696,0.0,0.0,0.0,0.0,364.5,71.1675926250668,0.0,0.0,0.0,0.0
