staffing_scenario_vs_baseline,n_pairs,delta_cycle_time_days,delta_cycle_time_days_ci95,delta_completed_within_arrival_window,delta_completed_within_arrival_window_ci95,delta_occupation,delta_occupation_ci95,delta_fairness,delta_fairness_ci95,delta_w_occupation,delta_w_occupation_ci95,delta_w_fairness,delta_w_fairness_ci95,delta_time_to_decision_days,delta_time_to_decision_days_ci95,delta_decision_reach_share,delta_decision_reach_share_ci95
remove_low,4,0.0,0.0,0.0,0.0,0.00017132703036368876,5.2731708961912425e-05,3.457775049261818e-05,3.355818938093697e-05,0.00017132703036368876,5.2731708961912425e-05,3.457775049261818e-05,3.355818938093697e-05,0.0,0.0,0.0,0.0
remove_high,4,0.024150657153207966,0.012360922273115624,-0.75,3.528307858930696,0.0009613318925246381,0.000396848743620498,0.001079378920478609,0.0007231115345157525,0.0009613318925246381,0.000396848743620498,0.001079378920478609,0.0007231115345157525,0.0005077429016462354,0.0005880862419125163,0.0,0.0
