policy,n_replications,cycle_time_days,cycle_time_days_ci95,p95_cycle_days,p95_cycle_days_ci95,occupation,occupation_ci95,fairness,fairness_ci95,w_occupation,w_occupation_ci95,w_fairness,w_fairness_ci95,completed_cases,completed_cases_ci95,completion_share,completion_share_ci95,time_to_first_offer_days,time_to_first_offer_days_ci95,first_offer_reach_share,first_offer_reach_share_ci95,time_to_decision_days,time_to_decision_days_ci95,decision_reach_share,decision_reach_share_ci95,case_handover_rate,case_handover_rate_ci95,activity_switch_rate,activity_switch_rate_ci95,rolling_workload_std,rolling_workload_std_ci95,w_activity_switch_rate,w_activity_switch_rate_ci95,w_rolling_workload_std,w_rolling_workload_std_ci95,w_event_share,w_event_share_ci95,ao_event_share,ao_event_share_ci95,w_busy_share,w_busy_share_ci95,ao_busy_share,ao_busy_share_ci95,median_sessions_per_work_item,median_sessions_per_work_item_ci95,max_sessions_per_work_item,max_sessions_per_work_item_ci95,max_session_guard_reached,max_session_guard_reached_ci95,max_session_guard_forced_completions,max_session_guard_forced_completions_ci95,withdrawals,withdrawals_ci95,rare_shortened_work_items,rare_shortened_work_items_ci95,rare_personal_loan_work_items,rare_personal_loan_work_items_ci95
random,4,22.13328791224018,0.4885910459955449,41.81605406867113,1.6048390977381806,0.007411802152005754,0.0031325591514130583,0.009161637721401236,0.003787687335957095,0.007411802152005754,0.0031325591514130583,0.009161637721401236,0.003787687335957095,621.75,75.482534543848,1.0,0.0,1.7314808725743105,0.31001079174999135,1.0,0.0,14.419082325998453,1.7174233446721503,0.7080492212505508,0.03575232935971776,0.8297033797942971,0.013608191244403177,0.08110793181441658,0.008499731826089948,0.00854993133825845,0.003453420504890924,0.08110793181441658,0.008499731826089948,0.00854993133825845,0.003453420504890924,0.27255096632950565,0.009437134508117702,0.7274490336704944,0.00943713450811778,1.0,2.039908498826602e-16,0.0,0.0,1.0,0.0,10.25,2.3868347289627807,0.0,0.0,0.0,0.0,85.5,17.74291115084931,0.0,0.0,0.0,0.0
piled,4,22.13953273451406,0.4830344255948438,41.820817001559874,1.6095421039593678,0.007565840828672506,0.0032998149420613676,0.009437855051911456,0.0039602808829886805,0.007565840828672506,0.0032998149420613676,0.009437855051911456,0.0039602808829886805,621.75,75.482534543848,1.0,0.0,1.7314808725743105,0.31001079174999135,1.0,0.0,14.419769676317994,1.7153143700934874,0.7080492212505508,0.03575232935971776,0.8242289801032583,0.026537016692153848,0.0734862739056866,0.014136011028009907,0.008610381938521431,0.0034349981149020053,0.0734862739056866,0.014136011028009907,0.008610381938521431,0.0034349981149020053,0.27255096632950565,0.009437134508117702,0.7274490336704944,0.00943713450811778,1.0,0.0,0.0,0.0,1.0,0.0,10.25,2.3868347289627807,0.0,0.0,0.0,0.0,85.5,17.74291115084931,0.0,0.0,0.0,0.0
kbatch5,4,22.352226332548163,0.5216592861660024,42.22065654850751,1.4296924851019994,0.007006517633648212,0.003367890598283631,0.009975195884845293,0.004786680155998103,0.007006517633648212,0.003367890598283631,0.009975195884845293,0.004786680155998103,621.75,75.482534543848,1.0,0.0,1.7348348898643031,0.30681264591719376,1.0,0.0,14.533130258254731,1.7774114877528473,0.7080492212505508,0.03575232935971776,0.828293343566621,0.015595605895685361,0.04454637517479926,0.0055593184910771596,0.007508571638124368,0.0034398637102029685,0.04454637517479926,0.0055593184910771596,0.007508571638124368,0.0034398637102029685,0.2691577429183584,0.009013874260380602,0.7308422570816416,0.009013874260380653,1.0,0.0,0.0,0.0,1.0,0.0,9.75,3.528307858930696,0.0,0.0,0.0,0.0,154.25,38.811386448237656,0.0,0.0,0.0,0.0
