staffing_scenario,n_replications,cycle_time_days,cycle_time_days_ci95,p95_cycle_days,p95_cycle_days_ci95,occupation,occupation_ci95,fairness,fairness_ci95,completed_cases,completed_cases_ci95,completion_share,completion_share_ci95,time_to_first_offer_days,time_to_first_offer_days_ci95,first_offer_reach_share,first_offer_reach_share_ci95,time_to_decision_days,time_to_decision_days_ci95,decision_reach_share,decision_reach_share_ci95,case_handover_rate,case_handover_rate_ci95,activity_switch_rate,activity_switch_rate_ci95,rolling_workload_std,rolling_workload_std_ci95
baseline,4,0.8234949938436813,0.42038340626452236,2.826155459446759,1.3968331809321846,0.4130482194516479,0.06293488660151622,0.2896228842083959,0.03946130912184633,347.5,32.67500965927887,0.5596978405282004,0.03543163744831771,0.13113559951043585,0.055800605858497894,0.899491408927103,0.015517191123394617,0.4766634400272854,0.26432875653394244,0.44395999450498713,0.024601347825801635,0.7997266358649024,0.029486623351241168,0.7370480195436874,0.023607281136333425,0.0922401660433724,0.005646301179072695
remove_low,4,0.8234949938436813,0.42038340626452236,2.826155459446759,1.3968331809321846,0.41632635722534483,0.06470280263071143,0.2894706797956319,0.0393737241211031,347.5,32.67500965927887,0.5596978405282004,0.03543163744831771,0.13113559951043585,0.055800605858497894,0.899491408927103,0.015517191123394617,0.4766634400272854,0.26432875653394244,0.44395999450498713,0.024601347825801635,0.7997266358649024,0.029486623351241168,0.7370480195436874,0.023607281136333425,0.09277656615285193,0.005665127956617967
remove_high,4,0.8871814409282663,0.33023937328206704,3.2385632657116603,0.9027716591685881,0.4157488021218753,0.06046875429658031,0.29317370784242935,0.03892479235721,338.0,28.345814198168735,0.5445094719636192,0.03236125267390821,0.13269359308145529,0.05885174345256536,0.8999025931376293,0.014526881155875469,0.5312550847440886,0.23207418208484315,0.44074528158632686,0.02402896961130927,0.806698804969434,0.020359936778094903,0.7396126161506058,0.015070821285257914,0.09503712465616615,0.0051102828756288896
