activity_switch_rate,arrival_model,arrivals,busy_outside_availability_hours,case_handover_rate,completed_cases,completion_share,cycle_time_days,decision_reach_share,effective_capacity,effective_roster_seed,excluded_resources,fairness,first_offer_reach_share,max_resource_occupation,missing_resource_starts,occupation,p95_cycle_days,policy,resources_evaluated,rolling_workload_std,seed,still_queued_at_end,time_to_decision_days,time_to_first_offer_days,unpermitted_activities,zero_availability_resources,staffing_scenario
0.7284917526996558,mdn,683,88.84187514944445,0.8211371749107598,361,0.5285505124450952,1.070009094820137,0.4216691068814056,1,43,,0.32443235200340104,0.9077598828696926,1.0,0,0.46545010934030806,3.6814646111342593,random,97,0.0910201776646053,1,119,0.6267234562073608,0.15793788291795471,0,46,baseline
0.7205387205387206,mdn,569,81.2699643225,0.7819164914388705,318,0.5588752196836555,1.030682717636232,0.45694200351493847,1,44,,0.28652544,0.8945518453427065,1.0,0,0.3728526154060674,3.4752322198339103,random,100,0.08776411074307343,2,105,0.6123655781887019,0.16334380563818854,0,43,baseline
0.7491297861760319,mdn,627,94.92663712583334,0.7867891863097616,362,0.5773524720893142,0.633850325090866,0.44657097288676234,1,45,,0.265991760977818,0.9074960127591707,0.9983,0,0.4182756995947876,2.1908940290017354,random,94,0.09497072652575472,3,101,0.3563788427215608,0.11143826206211757,0,49,baseline
0.7500318187603411,mdn,608,71.83917966444444,0.8090636908002178,349,0.5740131578947368,0.5594378378274899,0.4506578947368421,1,46,,0.28154198385236445,0.8881578947368421,0.9995,0,0.39561445346542845,1.9570309778171293,random,102,0.09520564924005613,4,119,0.311185882991518,0.09182244742348251,0,41,baseline
0.7284917526996558,mdn,683,88.84187514944445,0.8211371749107598,361,0.5285505124450952,1.070009094820137,0.4216691068814056,1,43,"User_129,User_142",0.32409322916666666,0.9077598828696926,1.0,0,0.4702988842330053,3.6814646111342593,random,96,0.0915464119819691,1,119,0.6267234562073608,0.15793788291795471,0,45,remove_low
0.7205387205387206,mdn,569,81.2699643225,0.7819164914388705,318,0.5588752196836555,1.030682717636232,0.45694200351493847,1,44,"User_129,User_142",0.28658742985409646,0.8945518453427065,1.0,0,0.37661880344047205,3.4752322198339103,random,99,0.08828912752336548,2,105,0.6123655781887019,0.16334380563818854,0,42,remove_low
0.7491297861760319,mdn,627,94.92663712583334,0.7867891863097616,362,0.5773524720893142,0.633850325090866,0.44657097288676234,1,45,"User_129,User_142",0.2656600763093999,0.9074960127591707,0.9983,0,0.4227732877624734,2.1908940290017354,random,93,0.09551289646355898,3,101,0.3563788427215608,0.11143826206211757,0,48,remove_low
0.7500318187603411,mdn,608,71.83917966444444,0.8090636908002178,349,0.5740131578947368,0.5594378378274899,0.4506578947368421,1,46,"User_129,User_142",0.28154198385236445,0.8881578947368421,0.9995,0,0.39561445346542845,1.9570309778171293,random,102,0.09575782864251417,4,119,0.311185882991518,0.09182244742348251,0,39,remove_low
0.7288013451837617,mdn,683,80.82620227083332,0.8210825474744865,352,0.5153733528550513,1.0794127062955727,0.4216691068814056,1,43,"User_53,User_75",0.3285583379501385,0.9077598828696926,1.0,0,0.4633785675890325,3.842568428251736,random,95,0.0998253864861851,1,128,0.6588192716287695,0.15819262852583632,0,46,remove_high
0.7345547507456327,mdn,569,74.32827563,0.7927886809675947,312,0.5483304042179262,1.0457835993301132,0.45694200351493847,1,44,"User_53,User_75",0.2877377206407509,0.8945518453427065,1.0,0,0.37542703784739334,3.5984899027019672,random,99,0.09379649820470987,2,111,0.6518082803999287,0.16914258930926201,0,42,remove_high
0.7469423780103391,mdn,627,75.90083809055558,0.7997295469912102,346,0.5518341307814992,0.7645216953809411,0.4370015948963317,1,45,"User_53,User_75",0.27249357277882796,0.9074960127591707,0.9991,0,0.4264332679046582,2.8144228440393517,random,92,0.09356544709199066,3,117,0.440563384511101,0.11187365907441987,0,49,remove_high
0.7481519906626897,mdn,608,77.56598382749999,0.8131944444444444,342,0.5625,0.6590077627064381,0.4473684210526316,1,46,"User_53,User_75",0.2839052,0.8898026315789473,1.0,0,0.39775633514641734,2.6987718878535865,random,100,0.09296116684177898,4,131,0.3738294024365553,0.09156549541630296,0,41,remove_high
