staffing_scenario_vs_baseline,n_pairs,delta_cycle_time_days,delta_cycle_time_days_ci95,delta_completed_cases,delta_completed_cases_ci95,delta_occupation,delta_occupation_ci95,delta_fairness,delta_fairness_ci95,delta_w_occupation,delta_w_occupation_ci95,delta_w_fairness,delta_w_fairness_ci95,delta_time_to_decision_days,delta_time_to_decision_days_ci95,delta_decision_reach_share,delta_decision_reach_share_ci95
remove_low,4,0.0,0.0,0.0,0.0,0.0005433442376291345,0.0002498769115317706,0.00022307889255645738,0.00010809768901743378,0.0005433442376291345,0.0002498769115317706,0.00022307889255645738,0.00010809768901743378,0.0,0.0,0.0,0.0
remove_high,4,0.027566935627037464,0.010339086485275215,-4.75,6.281469704092287,0.005114759068461547,0.002121876075099318,0.008320240399076126,0.002337338147641031,0.005114759068461547,0.002121876075099318,0.008320240399076126,0.002337338147641031,0.00038030445731656107,0.0008391414936727075,0.00011907597046917351,0.00037895288226769315
