activity_switch_rate,ao_busy_share,ao_event_share,arrival_model,arrivals,assigned_atomic_starts,atomic_activity_mode,atomic_duration_scale,automatic_atomic_transitions,busy_outside_availability_hours,case_handover_rate,completed_cases,completion_share,cycle_time_days,decision_reach_share,drl_assignments,drl_postponements,effective_capacity,effective_roster_seed,excluded_resources,fairness,first_offer_reach_share,max_resource_occupation,max_session_guard_forced_completions,max_session_guard_reached,max_sessions_per_work_item,median_sessions_per_work_item,missing_resource_starts,occupation,p95_cycle_days,policy,rare_personal_loan_work_items,rare_shortened_work_items,resources_evaluated,rolling_workload_std,seed,still_queued_at_end,time_to_decision_days,time_to_first_offer_days,unpermitted_activities,w_activity_switch_rate,w_busy_share,w_event_share,w_fairness,w_occupation,w_rolling_workload_std,withdrawals,zero_availability_resources
0.13317927511554367,0.0,0.8091302607587055,mdn,4348,0,automatic,0.0,54036,194.55485032500002,0.8219493476592479,3174,0.7299908003679852,0.7001187260512899,0.5223091076356946,0,0,1,4000043,,0.040666287878787885,0.9776908923643054,0.2819,0,0,11,1.0,0,0.043727559794725125,3.2057628304565933,random,0,0,132,0.029722538488909253,4000001,9,0.149149711712596,0.00011160892765155477,0,0.13317927511554367,1.0,0.19086973924129447,0.040666287878787885,0.043727559794725125,0.029722538488909253,306,11
0.12882578843244502,0.0,0.8037052563451963,mdn,4309,0,automatic,0.0,54084,68.23410564555553,0.8085755292429135,3161,0.7335808772336969,0.6945768038661582,0.5182176839173822,0,0,1,4000044,,0.03842421199730863,0.9735437456486423,0.3067,0,0,11,1.0,0,0.04262130087271942,3.53124796068287,random,0,0,139,0.02353123529728347,4000002,18,0.13707083695937203,9.89223911209332e-05,0,0.12882578843244502,1.0,0.19629474365480368,0.03842421199730863,0.04262130087271942,0.02353123529728347,313,4
0.12013554875382597,0.0,0.8048565922864245,mdn,4541,0,automatic,0.0,57053,91.03959413472224,0.8355555555555556,3383,0.7449900902884827,0.711949647700923,0.5364457168024664,0,0,1,4000045,,0.038880374248162174,0.9799603611539308,0.2639,0,0,12,1.0,0,0.04230865627316804,3.627719005927048,random,0,0,134,0.02365765411486846,4000003,18,0.12349779887253029,9.693187404286311e-05,0,0.12013554875382597,1.0,0.19514340771357555,0.038880374248162174,0.04230865627316804,0.02365765411486846,318,9
0.1446579366050667,0.0,0.8074651565299243,mdn,4199,0,automatic,0.0,52638,128.29418070916668,0.7879586077140169,3161,0.7527982853060252,0.68475355916901,0.5484639199809478,0,0,1,4000046,,0.03527961285647741,0.9749940462014766,0.2668,0,0,10,1.0,0,0.03838235099924498,2.742222376423611,random,0,0,139,0.024168692272830843,4000004,13,0.12338525515092533,7.938696489272921e-05,0,0.1446579366050667,0.9999999999999999,0.1925348434700756,0.03527961285647741,0.03838235099924498,0.024168692272830843,339,4
0.1426311305829378,0.0,0.8091542509821362,mdn,4348,0,automatic,0.0,54036,194.04214920055557,0.843065693430657,3174,0.7299908003679852,0.7003230538602673,0.5223091076356946,0,0,1,4000043,,0.040605968778696044,0.9776908923643054,0.2757,0,0,11,1.0,0,0.043506259965042086,3.2057628304565933,roundrobin,0,0,132,0.029431154623854906,4000001,10,0.14914992091706317,0.00011160892765155477,0,0.1426311305829378,1.0,0.19084574901786375,0.040605968778696044,0.043506259965042086,0.029431154623854906,306,11
0.14106291429235956,0.0,0.8037656164927822,mdn,4309,0,automatic,0.0,54066,77.84254311083335,0.8301379681060742,3160,0.7333488048271061,0.6969232536711534,0.5182176839173822,0,0,1,4000044,,0.03773988923968739,0.9735437456486423,0.308,0,0,11,1.0,0,0.040285680460146626,3.569512087116886,roundrobin,0,0,139,0.023400166690434064,4000002,20,0.137077103520032,9.89223911209332e-05,0,0.14106291429235956,0.9999999999999999,0.1962343835072178,0.03773988923968739,0.040285680460146626,0.023400166690434064,313,4
0.12497264171591158,0.0,0.8048565922864245,mdn,4541,0,automatic,0.0,57053,97.51789878194444,0.8489694971145919,3383,0.7449900902884827,0.7100931573070075,0.5364457168024664,0,0,1,4000045,,0.03964940966807752,0.9799603611539308,0.2731,0,0,12,1.0,0,0.04282135288524388,3.5394536798032386,roundrobin,0,0,134,0.02377054170911723,4000003,18,0.12349798150019195,9.693187404286311e-05,0,0.12497264171591158,1.0000000000000002,0.19514340771357555,0.03964940966807752,0.04282135288524388,0.02377054170911723,318,9
0.14971232709021912,0.0,0.8074651565299243,mdn,4199,0,automatic,0.0,52638,128.30073115833332,0.7992096349266089,3161,0.7527982853060252,0.6832645151650614,0.5484639199809478,0,0,1,4000046,,0.03522736918378966,0.9749940462014766,0.2637,0,0,10,1.0,0,0.038203124640711496,2.741061176689815,roundrobin,0,0,139,0.02389091600100991,4000004,12,0.1231681613667107,7.938696489272921e-05,0,0.14971232709021912,1.0,0.1925348434700756,0.03522736918378966,0.038203124640711496,0.02389091600100991,339,4
0.11035405767124955,0.0,0.8091302607587055,mdn,4348,0,automatic,0.0,54036,210.22342972805555,0.7153004415434824,3174,0.7299908003679852,0.6992609893967114,0.5223091076356946,0,0,1,4000043,,0.05442777777777778,0.9776908923643054,0.3033,0,0,11,1.0,0,0.06318474701976295,3.2057917150086763,shortestqueue,0,0,132,0.030298783169886604,4000001,9,0.1491493843131595,0.00011160892765155477,0,0.11035405767124955,0.9999999999999999,0.19086973924129447,0.05442777777777778,0.06318474701976295,0.030298783169886604,306,11
0.11188648522912305,0.0,0.8037052563451963,mdn,4309,0,automatic,0.0,54084,77.82397549194444,0.7107008424448826,3161,0.7335808772336969,0.6953708237414138,0.5182176839173822,0,0,1,4000044,,0.05817315873919569,0.9735437456486423,0.3216,0,0,11,1.0,0,0.06368878891100445,3.5318558302083334,shortestqueue,0,0,139,0.024554290128284213,4000002,18,0.13706462194548108,9.89223911209332e-05,0,0.11188648522912305,1.0,0.19629474365480368,0.05817315873919569,0.06368878891100445,0.024554290128284213,313,4
0.10074381973309998,0.0,0.8048565922864245,mdn,4541,0,automatic,0.0,57053,100.21397894666669,0.7273176354355343,3383,0.7449900902884827,0.7085587376651777,0.5364457168024664,0,0,1,4000045,,0.05800556916907997,0.9799603611539308,0.3839,0,0,12,1.0,0,0.06358103269095554,3.539459469349535,shortestqueue,0,0,134,0.024564739338902672,4000003,18,0.12349623404746225,9.693187404286311e-05,0,0.10074381973309998,1.0,0.19514340771357555,0.05800556916907997,0.06358103269095554,0.024564739338902672,318,9
