policy,n_pairs,delta_cycle_time_days,delta_cycle_time_days_ci95,delta_completed_cases,delta_completed_cases_ci95,delta_completion_share,delta_completion_share_ci95,delta_occupation,delta_occupation_ci95,delta_fairness,delta_fairness_ci95,delta_w_occupation,delta_w_occupation_ci95,delta_w_fairness,delta_w_fairness_ci95,delta_activity_switch_rate,delta_activity_switch_rate_ci95,delta_w_activity_switch_rate,delta_w_activity_switch_rate_ci95
random,4,-0.6772187868789264,0.11352381429614707,57.75,34.432613067323324,0.013242364190650974,0.008108111073727308,-0.3298760494339776,0.015042615807887698,-0.23165294639356357,0.01035555762239495,0.000571349476437593,0.0013997789374566708,0.0009351164459429386,0.0032062567720146313,-0.0037935724261959347,0.006174166011800372,0.02263329780564572,0.004876075884599931
piled,4,-0.7691075439212313,0.09979466085589776,79.5,19.160864088500933,0.01817449903771398,0.004207725265611399,-0.3282582911318085,0.017605669553698525,-0.23354788491483716,0.010570913418958204,0.0009393853141613211,0.002510733859379769,1.2759217160663791e-05,0.0015901168192474099,0.05221632044280172,0.017198726822275714,0.024858974298731434,0.008210718705154281
kbatch5,4,-5.792183359791718,2.018808032637864,583.0,214.5143506672788,0.13289976430280737,0.0441901941283031,-0.28643883160139705,0.014736719170909079,-0.19056092586280304,0.011954825154108487,0.012185478621348843,0.002237634351211322,0.01855773268217506,0.0032909420814457736,-0.021058919267147536,0.0019329974639149333,0.0075902524313765235,0.013357861145421058
