staffing_scenario,n_replications,cycle_time_days,cycle_time_days_ci95,p95_cycle_days,p95_cycle_days_ci95,occupation,occupation_ci95,fairness,fairness_ci95,w_occupation,w_occupation_ci95,w_fairness,w_fairness_ci95,completed_cases,completed_cases_ci95,completion_share,completion_share_ci95,time_to_first_offer_days,time_to_first_offer_days_ci95,first_offer_reach_share,first_offer_reach_share_ci95,time_to_decision_days,time_to_decision_days_ci95,decision_reach_share,decision_reach_share_ci95,case_handover_rate,case_handover_rate_ci95,activity_switch_rate,activity_switch_rate_ci95,rolling_workload_std,rolling_workload_std_ci95,w_activity_switch_rate,w_activity_switch_rate_ci95,w_rolling_workload_std,w_rolling_workload_std_ci95,w_event_share,w_event_share_ci95,ao_event_share,ao_event_share_ci95,w_busy_share,w_busy_share_ci95,ao_busy_share,ao_busy_share_ci95,median_sessions_per_work_item,median_sessions_per_work_item_ci95,max_sessions_per_work_item,max_sessions_per_work_item_ci95,max_session_guard_reached,max_session_guard_reached_ci95,max_session_guard_forced_completions,max_session_guard_forced_completions_ci95,withdrawals,withdrawals_ci95,rare_shortened_work_items,rare_shortened_work_items_ci95,rare_personal_loan_work_items,rare_personal_loan_work_items_ci95
baseline,4,0.6978496841968452,0.01805361141135144,3.2767380433725304,0.6356316857758952,0.04175996698496439,0.0037116415264706135,0.038312621745184024,0.0035668113770679815,0.04175996698496439,0.0037116415264706135,0.038312621745184024,0.0035668113770679815,3219.75,173.45244738395803,0.7403400132990476,0.016679376016644463,9.671253942702008e-05,2.1090150086837313e-05,0.9765472613420888,0.004537146745333469,0.13327590067385592,0.019699821661785587,0.5313591070841227,0.02199205711091904,0.8135097600429335,0.03227806732534329,0.13169963722672035,0.016229800137249017,0.02527003004347301,0.004743601391180532,0.13169963722672035,0.016229800137249017,0.02527003004347301,0.004743601391180532,0.1937106835199373,0.003917515740723734,0.8062893164800626,0.003917515740723726,1.0,1.019954249413301e-16,0.0,0.0,1.0,0.0,11.0,1.299228263625111,0.0,0.0,0.0,0.0,319.0,22.615530206999416,0.0,0.0,0.0,0.0
remove_low,4,0.6978496841968452,0.01805361141135144,3.2767380433725304,0.6356316857758952,0.04230331122259352,0.003752024452788454,0.038535700637740485,0.0036162107015270018,0.04230331122259352,0.003752024452788454,0.038535700637740485,0.0036162107015270018,3219.75,173.45244738395803,0.7403400132990476,0.016679376016644463,9.671253942702008e-05,2.1090150086837313e-05,0.9765472613420888,0.004537146745333469,0.13327590067385592,0.019699821661785587,0.5313591070841227,0.02199205711091904,0.8135097600429335,0.03227806732534329,0.13169963722672035,0.016229800137249017,0.025437239374566194,0.0047765636131570895,0.13169963722672035,0.016229800137249017,0.025437239374566194,0.0047765636131570895,0.1937106835199373,0.003917515740723734,0.8062893164800626,0.003917515740723726,1.0,1.019954249413301e-16,0.0,0.0,1.0,0.0,11.0,1.299228263625111,0.0,0.0,0.0,0.0,319.0,22.615530206999416,0.0,0.0,0.0,0.0
remove_high,4,0.7254166198238827,0.013653153502835285,3.566065012147134,0.6508410732956955,0.046874726053425936,0.0033712904851551,0.046632862144260157,0.00318593782271101,0.046874726053425936,0.0033712904851551,0.046632862144260157,0.00318593782271101,3215.0,178.42051556259656,0.7392372729294262,0.017849191996093295,9.671253942702008e-05,2.1090150086837313e-05,0.9765472613420888,0.004537146745333469,0.13365620513117246,0.019286895171598897,0.5314781830545918,0.022305748561694372,0.825293198036657,0.01938371810439175,0.13333484344312135,0.015797172185642815,0.025002471709907065,0.004708667164213728,0.13333484344312135,0.015797172185642815,0.025002471709907065,0.004708667164213728,0.19316335149059077,0.004363546298151675,0.8068366485094093,0.0043635462981516685,0.9999999999999999,1.019954249413301e-16,0.0,0.0,1.0,0.0,11.0,1.299228263625111,0.0,0.0,0.0,0.0,321.0,26.467291958490257,0.0,0.0,0.0,0.0
